"id";"rank";"name";"employees";"previousrank";"revenues";"revenuechange";"profits";"profitschange";"assets";"marketvalue"
"2";"1";"Walmart";"2,300,000";"1";"$485,873";"0.8%";"$13,643.0 ";"-7.2%";"$198,825";"$218,619"
"3";"2";"Berkshire Hathaway";"367,700";"4";"$223,604";"6.1%";"$24,074.0 ";"0.0%";"$620,854";"$411,035"
"4";"3";"Apple";"116,000";"3";"$215,639";"-7.7%";"$45,687.0 ";"-14.4%";"$321,686";"$753,718"
"5";"4";"Exxon Mobil";"72,700";"2";"$205,004";"-16.7%";"$7,840.0 ";"-51.5%";"$330,314";"$340,056"
"6";"5";"McKesson";"68,000";"5";"$192,487";"6.2%";"$2,258.0 ";"53.0%";"$56,563";"$31,439"
"7";"6";"UnitedHealth Group";"230,000";"6";"$184,840";"17.7%";"$7,017.0 ";"20.7%";"$122,810";"$157,793"
"8";"7";"CVS Health";"204,000";"7";"$177,526";"15.8%";"$5,317.0 ";"1.5%";"$94,462";"$81,310"
"9";"8";"General Motors";"225,000";"8";"$166,380";"9.2%";"$9,427.0 ";"-2.7%";"$221,690";"$52,968"
"10";"9";"AT&T";"268,540";"10";"$163,786";"11.6%";"$12,976.0 ";"-2.8%";"$403,821";"$255,679"
"11";"10";"Ford Motor";"201,000";"9";"$151,800";"1.5%";"$4,596.0 ";"-37.7%";"$237,951";"$46,349"
"12";"11";"AmerisourceBergen";"18,500";"12";"$146,850";"8.0%";"$1,427.9 ";"-";"$33,656";"$19,229"
"13";"12";"Amazon.com";"341,400";"18";"$135,987";"27.1%";"$2,371.0 ";"297.8%";"$83,402";"$423,031"
"14";"13";"General Electric";"295,000";"11";"$126,661";"-9.8%";"$8,831.0 ";"-";"$365,183";"$259,520"
"15";"14";"Verizon";"160,900";"13";"$125,980";"-4.3%";"$13,127.0 ";"-26.6%";"$244,180";"$198,900"
"16";"15";"Cardinal Health";"37,300";"21";"$121,546";"18.5%";"$1,427.0 ";"17.4%";"$34,122";"$25,725"
"17";"16";"Costco";"172,000";"15";"$118,719";"2.2%";"$2,350.0 ";"-1.1%";"$33,163";"$73,606"
"18";"17";"Walgreens Boots Alliance";"300,000";"19";"$117,351";"13.4%";"$4,173.0 ";"-1.1%";"$72,688";"$89,645"
"19";"18";"Kroger";"443,000";"17";"$115,337";"5.0%";"$1,975.0 ";"-3.1%";"$36,505";"$26,961"
"20";"19";"Chevron";"55,200";"14";"$107,567";"-18.0%";"-$497.0 ";"-110.8%";"$260,078";"$203,263"
"21";"20";"Fannie Mae";"7,000";"16";"$107,162";"-2.9%";"$12,313.0 ";"12.4%";"$3,287,968";"$3,011"
"22";"21";"J.P. Morgan Chase";"243,355";"23";"$105,486";"4.4%";"$24,733.0 ";"1.2%";"$2,490,972";"$313,761"
"23";"22";"Express Scripts Holding";"25,600";"22";"$100,288";"-1.4%";"$3,404.4 ";"37.5%";"$51,745";"$39,567"
"24";"23";"Home Depot";"406,000";"28";"$94,595";"6.9%";"$7,957.0 ";"13.5%";"$42,966";"$176,368"
"25";"24";"Boeing";"150,540";"24";"$94,571";"-1.6%";"$4,895.0 ";"-5.4%";"$89,997";"$107,546"
"26";"25";"Wells Fargo";"269,100";"27";"$94,176";"4.6%";"$21,938.0 ";"-4.2%";"$1,930,115";"$278,516"
"27";"26";"Bank of America Corp.";"208,024";"26";"$93,662";"0.7%";"$17,906.0 ";"12.7%";"$2,187,702";"$236,182"
